uid	pmids
D012170	P3777545|P2632113|P2690927|P3066729|P1698170|P2640224|P1710591|P1889771|P1635361|P7688950|P8109212|P8334911|P7506400|P7943118|P8119599|P7533959|P8575610|P9097788|P9097789|P8600406|P8600407|P8600408|P8913124|P8913125|P9109757|P9475033|P9613383|P10654172|P10567867|P10893069|P10896341|P10896360|P12206008|P11196123|P11865834|P12400431|P15923527|P15953425|P16226521|P16416154|P16738858|P16996596|P17218915|P17396687|P17483861|P18001246|P18185145|P18219348|P18362932|P18425522|P18556425|P18588374|P18708258|P18759522|P18682969|P19167078|P19174717|P19344824|P19365011|P19373128|P19466682|P19584651|P19619896|P19674727|P19696704|P19734765|P19752419|P19752420|P19901211|P19912734|P20049663|P19477488|P19875087|P20031222|P20163872|P20307032|P20381871|P20398941|P20417567|P20591399|P20630595|P20837797|P20858114|P20926135|P20953877|P21293319|P21337043|P21440942|P21684606|P21715011|P21764136|P22082694|P22101497|P22139613|P22301066|P22361318|P22424833|P22440275
D015882	P14745677
D012174	P3332681|P2803090|P1454349|P1794814|P8155034|P8240094|P8240095|P8512476|P8152764|P9196934|P9865617|P10197566|P10399203|P10487973|P10523963|P10710240|P12322788|P12608650|P12543751|P12963609|P15059710|P15364708|P15364709|P16759390|P17674017|P18185146|P18201138|P20385935|P20948238|P21467183|P22110084
D012175	P9097772|P21320950
D055955	
D056833	P20136418|P20532141|P20554506|P21245962|P21742303|P21836413|P21878843
D015861	P1698170|P2193849|P2204779|P2234818|P2003796|P1315662|P8224951|P8233391|P8352298|P8371932|P7506400|P10873990|P16682585|P16856623|P16963850|P17564719|P18225515|P18207120|P18286296|P18320518|P18320520|P19516117|P19692371|P20457972|P21293163|P21440942|P22466469
D057130	
D019773	P10811074|P10950411|P12153804|P12487895|P12888042|P12888045|P14769600|P15234276|P16085942|P16294204|P16935609|P16952097|P16705448|P17093998|P17186261|P17202200|P17353402|P17483861|P18191090|P18695630|P18703552|P19028741|P19054492|P19696703|P19912135|P19692379|P19713199|P19823863|P21035869|P21051731|P21724047|P21886189|P21765374|P22422031|P22656892
D002825	P2851877|P2695556|P8470726|P8684787|P9296037|P12095806|P16171866|P22534709
D041441	P21914263
D052245	
D017726	P8312826|P7993207|P8011248|P8035989|P8067763|P8141577|P11362288|P11362289|P11362603|P11362728|P11362779|P11362926|P11363028|P7637721|P7639972|P7658051|P7712668|P7733183|P7802522|P7872356|P7875151|P8548191|P11363844|P8540847|P8660161|P8660168|P8660169|P8721550|P8829030|P8940670|P9110064|P9110065|P9110067|P11364833|P9030380|P9036797|P9036798|P9164318|P9211677|P9222234|P9272411|P9366668|P9400786|P11361898|P9525435|P10037565|P10194235|P10234599|P10980764|P10983644|P11168085|P11292409|P11305288|P11740736|P11744430|P11753827|P11919489|P11931780|P11931781|P11931782|P11948271|P12520627|P12523893|P14745677|P14767813|P15076943|P15498605
